Enter user ID (e.g., 2): video=2.mp4 t=0.266s | yaw=0.00 | pitch=-13.00
video=2.mp4 t=21.412s | yaw=-27.00 | pitch=-28.00
video=2.mp4 t=21.513s | yaw=-32.00 | pitch=-29.00
video=2.mp4 t=21.613s | yaw=-34.00 | pitch=-30.00
video=2.mp4 t=21.714s | yaw=-35.00 | pitch=-32.00
video=2.mp4 t=21.814s | yaw=-35.00 | pitch=-33.00
video=2.mp4 t=21.915s | yaw=-36.00 | pitch=-35.00
video=2.mp4 t=22.031s | yaw=-35.00 | pitch=-37.00
video=2.mp4 t=22.139s | yaw=-33.00 | pitch=-38.00
video=2.mp4 t=22.239s | yaw=-33.00 | pitch=-39.00
video=2.mp4 t=22.339s | yaw=-32.00 | pitch=-39.00
video=2.mp4 t=22.440s | yaw=-32.00 | pitch=-39.00
video=2.mp4 t=22.540s | yaw=-32.00 | pitch=-40.00
video=2.mp4 t=22.641s | yaw=-34.00 | pitch=-41.00
video=2.mp4 t=22.741s | yaw=-37.00 | pitch=-42.00
video=2.mp4 t=22.842s | yaw=-41.00 | pitch=-44.00
video=2.mp4 t=22.944s | yaw=-45.00 | pitch=-44.00
video=2.mp4 t=23.044s | yaw=-48.00 | pitch=-45.00
video=2.mp4 t=23.144s | yaw=-52.00 | pitch=-44.00
video=2.mp4 t=23.245s | yaw=-57.00 | pitch=-43.00
video=2.mp4 t=23.346s | yaw=-59.00 | pitch=-41.00
video=2.mp4 t=23.446s | yaw=-60.00 | pitch=-40.00
video=2.mp4 t=23.547s | yaw=-60.00 | pitch=-38.00
video=2.mp4 t=23.647s | yaw=-61.00 | pitch=-36.00
video=2.mp4 t=23.747s | yaw=-60.00 | pitch=-36.00
video=2.mp4 t=23.848s | yaw=-60.00 | pitch=-35.00
video=2.mp4 t=23.949s | yaw=-60.00 | pitch=-35.00
video=2.mp4 t=24.049s | yaw=-59.00 | pitch=-36.00
video=2.mp4 t=24.150s | yaw=-57.00 | pitch=-36.00
video=2.mp4 t=24.250s | yaw=-57.00 | pitch=-36.00
video=2.mp4 t=24.351s | yaw=-57.00 | pitch=-37.00
video=2.mp4 t=24.451s | yaw=-56.00 | pitch=-37.00
video=2.mp4 t=24.552s | yaw=-53.00 | pitch=-37.00
video=2.mp4 t=24.652s | yaw=-47.00 | pitch=-37.00
video=2.mp4 t=24.753s | yaw=-39.00 | pitch=-37.00
video=2.mp4 t=24.853s | yaw=-32.00 | pitch=-36.00
video=2.mp4 t=24.954s | yaw=-25.00 | pitch=-35.00
video=2.mp4 t=25.054s | yaw=-20.00 | pitch=-33.00
video=2.mp4 t=25.155s | yaw=-17.00 | pitch=-33.00
video=2.mp4 t=25.255s | yaw=-16.00 | pitch=-34.00
video=2.mp4 t=25.356s | yaw=-14.00 | pitch=-35.00
video=2.mp4 t=25.456s | yaw=-12.00 | pitch=-35.00
video=2.mp4 t=25.557s | yaw=-11.00 | pitch=-36.00
video=2.mp4 t=25.657s | yaw=-11.00 | pitch=-36.00
video=2.mp4 t=25.758s | yaw=-11.00 | pitch=-36.00
video=2.mp4 t=25.858s | yaw=-12.00 | pitch=-36.00
video=2.mp4 t=25.959s | yaw=-12.00 | pitch=-36.00
video=2.mp4 t=26.060s | yaw=-12.00 | pitch=-36.00
video=2.mp4 t=26.161s | yaw=-12.00 | pitch=-36.00
video=2.mp4 t=26.260s | yaw=-10.00 | pitch=-36.00
video=2.mp4 t=26.361s | yaw=-6.00 | pitch=-35.00
video=2.mp4 t=26.462s | yaw=-1.00 | pitch=-33.00
video=2.mp4 t=26.563s | yaw=2.00 | pitch=-31.00
video=2.mp4 t=26.664s | yaw=4.00 | pitch=-30.00
video=2.mp4 t=26.764s | yaw=4.00 | pitch=-30.00
video=2.mp4 t=26.864s | yaw=4.00 | pitch=-30.00
video=2.mp4 t=26.965s | yaw=0.00 | pitch=-31.00
video=2.mp4 t=27.066s | yaw=-8.00 | pitch=-32.00
video=2.mp4 t=27.166s | yaw=-18.00 | pitch=-32.00
video=2.mp4 t=27.266s | yaw=-25.00 | pitch=-31.00
video=2.mp4 t=27.367s | yaw=-28.00 | pitch=-31.00
video=2.mp4 t=27.467s | yaw=-29.00 | pitch=-32.00
video=2.mp4 t=27.568s | yaw=-32.00 | pitch=-32.00
video=2.mp4 t=27.668s | yaw=-35.00 | pitch=-33.00
video=2.mp4 t=27.769s | yaw=-39.00 | pitch=-34.00
video=2.mp4 t=27.869s | yaw=-39.00 | pitch=-35.00
video=2.mp4 t=27.970s | yaw=-38.00 | pitch=-34.00
video=2.mp4 t=28.070s | yaw=-38.00 | pitch=-34.00
video=2.mp4 t=28.171s | yaw=-38.00 | pitch=-35.00
video=2.mp4 t=28.271s | yaw=-38.00 | pitch=-35.00
video=2.mp4 t=28.372s | yaw=-38.00 | pitch=-35.00
video=2.mp4 t=28.473s | yaw=-38.00 | pitch=-36.00
video=2.mp4 t=28.574s | yaw=-37.00 | pitch=-36.00
video=2.mp4 t=28.673s | yaw=-37.00 | pitch=-37.00
video=2.mp4 t=28.774s | yaw=-36.00 | pitch=-37.00
video=2.mp4 t=28.875s | yaw=-36.00 | pitch=-37.00
video=2.mp4 t=28.975s | yaw=-36.00 | pitch=-36.00
video=2.mp4 t=29.076s | yaw=-35.00 | pitch=-29.00
video=2.mp4 t=29.177s | yaw=-33.00 | pitch=-19.00
video=2.mp4 t=29.277s | yaw=-30.00 | pitch=-9.00
video=2.mp4 t=29.377s | yaw=-28.00 | pitch=-6.00
video=2.mp4 t=29.478s | yaw=-27.00 | pitch=-5.00
video=2.mp4 t=29.578s | yaw=-28.00 | pitch=-3.00
video=2.mp4 t=29.679s | yaw=-31.00 | pitch=-2.00
video=2.mp4 t=29.779s | yaw=-39.00 | pitch=-1.00
video=2.mp4 t=29.880s | yaw=-49.00 | pitch=-1.00
video=2.mp4 t=29.980s | yaw=-55.00 | pitch=-1.00
video=3.mp4 t=0.235s | yaw=0.00 | pitch=-13.00
video=3.mp4 t=0.334s | yaw=0.00 | pitch=-13.00
video=3.mp4 t=0.435s | yaw=0.00 | pitch=-13.00
video=3.mp4 t=0.535s | yaw=0.00 | pitch=-13.00
video=3.mp4 t=0.636s | yaw=1.00 | pitch=-13.00
video=3.mp4 t=0.736s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=0.837s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=0.937s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.038s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.138s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.239s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.339s | yaw=1.00 | pitch=-14.00
